TSP,SO2,SO4,NO2,date,YY,MM
17.0625,2.1000000000000005,3.0118750000000007,10.247619047619049,2011-01-01,11,1
12.23076923076923,3.935714285714286,2.376153846153847,10.813333333333333,2011-02-01,11,2
45.666666666666664,0.9806451612903226,1.8219999999999998,7.0,2011-03-01,11,3
73.06666666666666,0.76,2.512666666666667,6.23,2011-04-01,11,4
91.5625,0.5177419354838712,2.2937499999999997,4.571428571428571,2011-05-01,11,5
49.1,0.5295454545454545,1.4789999999999999,4.685714285714285,2011-06-01,11,6
72.0,0.7304347826086957,0.9324999999999998,3.2133333333333334,2011-07-01,11,7
55.75,0.4035714285714285,2.3112500000000002,5.1421052631578945,2011-08-01,11,8
75.0,0.2368333333333333,3.7866666666666666,5.430000000000001,2011-09-01,11,9
27.333333333333332,0.7386538461538462,6.175,7.838095238095238,2011-10-01,11,10
27.76923076923077,0.5727272727272728,1.7792857142857146,7.575,2011-11-01,11,11
18.1875,1.77741935483871,3.22625,14.076190476190474,2012-12-01,12,12
15.0625,1.6129032258064513,4.099374999999999,10.633333333333335,2012-01-01,12,1
17.642857142857142,3.9137931034482762,4.477857142857142,8.221052631578948,2012-02-01,12,2
44.8125,1.1129032258064515,2.9306666666666663,7.828571428571429,2012-03-01,12,3
82.4,0.35666666666666663,2.097333333333333,4.465,2012-04-01,12,4
141.0,0.3758064516129031,1.4512500000000002,3.3666666666666667,2012-05-01,12,5
